Date : 2025-02-16 17:43:33
Directory : d:\Desktop\C++\OpenGL\Engine
Total : 380 files,  32539 codes, 14022 comments, 6066 blanks, all 52627 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        321 |     30,663 |     13,966 |      5,715 |     50,344 |
| GLSL     |         55 |      1,820 |         56 |        348 |      2,224 |
| CMake    |          2 |         42 |          0 |          2 |         44 |
| XML      |          2 |         14 |          0 |          1 |         15 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        380 |     32,539 |     14,022 |      6,066 |     52,627 |
| . (Files)                                                                                 |          2 |         34 |          0 |          2 |         36 |
| Engine                                                                                    |        233 |     24,402 |     13,953 |      5,152 |     43,507 |
| Engine (Files)                                                                            |          1 |         13 |          0 |          0 |         13 |
| Engine\Animation                                                                          |          3 |        117 |          0 |         25 |        142 |
| Engine\Buffer                                                                             |          1 |         55 |          0 |         11 |         66 |
| Engine\Camera                                                                             |          6 |        323 |          0 |         56 |        379 |
| Engine\FrameBuffer                                                                        |          7 |        343 |          0 |         56 |        399 |
| Engine\Lights                                                                             |          5 |        319 |          0 |         48 |        367 |
| Engine\Managers                                                                           |          6 |        604 |        131 |         70 |        805 |
| Engine\Material                                                                           |          6 |        440 |          3 |         58 |        501 |
| Engine\ShaderToys                                                                         |          3 |        171 |          0 |         22 |        193 |
| Engine\Texture                                                                            |          2 |        233 |          0 |         35 |        268 |
| Engine\Uniform                                                                            |          1 |         23 |          0 |          6 |         29 |
| Engine\core                                                                               |          9 |        881 |         27 |        151 |      1,059 |
| Engine\include                                                                            |        172 |     19,648 |     13,789 |      4,518 |     37,955 |
| Engine\include (Files)                                                                    |         77 |      2,622 |         49 |        264 |      2,935 |
| Engine\include\assimp                                                                     |         91 |     10,515 |     12,272 |      3,310 |     26,097 |
| Engine\include\assimp (Files)                                                             |         86 |      9,836 |     11,893 |      3,205 |     24,934 |
| Engine\include\assimp\Compiler                                                            |          3 |        624 |        287 |         69 |        980 |
| Engine\include\assimp\port                                                                |          2 |         55 |         92 |         36 |        183 |
| Engine\include\assimp\port\AndroidJNI                                                     |          2 |         55 |         92 |         36 |        183 |
| Engine\include\stb_image                                                                  |          4 |      6,511 |      1,468 |        944 |      8,923 |
| Engine\math                                                                               |          2 |         81 |          0 |         15 |         96 |
| Engine\render                                                                             |          2 |        240 |          3 |         25 |        268 |
| Engine\tools                                                                              |          7 |        911 |          0 |         56 |        967 |
| include                                                                                   |         68 |      5,344 |          4 |        462 |      5,810 |
| include\Ela                                                                               |         68 |      5,344 |          4 |        462 |      5,810 |
| shaders                                                                                   |         55 |      1,820 |         56 |        348 |      2,224 |
| shaders (Files)                                                                           |         42 |      1,214 |         41 |        256 |      1,511 |
| shaders\IBL                                                                               |          3 |        198 |         12 |         43 |        253 |
| shaders\bloom                                                                             |          3 |         82 |          2 |         16 |        100 |
| shaders\include                                                                           |          7 |        326 |          1 |         33 |        360 |
| src                                                                                       |         22 |        939 |          9 |        102 |      1,050 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                  | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Desktop\C++\OpenGL\Engine\CMakeLists.txt                                               | CMake    |         29 |          0 |          2 |         31 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Animation\Animation.cpp                               | C++      |         38 |          0 |          6 |         44 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Animation\AnimationPlayer.cpp                         | C++      |         40 |          0 |         10 |         50 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Animation\KeyFrameTrack.cpp                           | C++      |         39 |          0 |          9 |         48 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Buffer\UniformBufferObject.cpp                        | C++      |         55 |          0 |         11 |         66 |
| d:\Desktop\C++\OpenGL\Engine\Engine\CMakeLists.txt                                        | CMake    |         13 |          0 |          0 |         13 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Camera\Camera.cpp                                     | C++      |         49 |          0 |         10 |         59 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Camera\CameraController.cpp                           | C++      |         21 |          0 |          7 |         28 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Camera\GameController.cpp                             | C++      |         73 |          0 |          8 |         81 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Camera\GlobalCamera.cpp                               | C++      |         64 |          0 |         11 |         75 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Camera\ProjectionProvider.cpp                         | C++      |         68 |          0 |         13 |         81 |
| d:\Desktop\C++\OpenGL\Engine\Engine\Camera\TrackballController.cpp                        | C++      |         48 |          0 |          7 |         55 |
| d:\Desktop\C++\OpenGL\Engine\Engine\FrameBuffer\DepthCubeMapFBO.cpp                       | C++      |         22 |          0 |          5 |         27 |
| d:\Desktop\C++\OpenGL\Engine\Engine\FrameBuffer\DepthMapFBO.cpp                           | C++      |         20 |          0 |          5 |         25 |
| d:\Desktop\C++\OpenGL\Engine\Engine\FrameBuffer\FrameBufferObject.cpp                     | C++      |        179 |          0 |         22 |        201 |
| d:\Desktop\C++\OpenGL\Engine\Engine\FrameBuffer\MSAAFBO.cpp                               | C++      |         36 |          0 |          7 |         43 |
